date,pcr_positive,day
2020/1/16,1,1
2020/1/17,0,2
2020/1/18,0,3
2020/1/19,0,4
2020/1/20,0,5
2020/1/21,0,6
2020/1/22,0,7
2020/1/23,0,8
2020/1/24,1,9
2020/1/25,1,10
2020/1/26,1,11
2020/1/27,0,12
2020/1/28,3,13
2020/1/29,1,14
2020/1/30,3,15
2020/1/31,1,16
2020/2/1,0,17
2020/2/2,0,18
2020/2/3,0,19
2020/2/4,2,20
2020/2/5,2,21
2020/2/6,0,22
2020/2/7,0,23
2020/2/8,0,24
2020/2/9,0,25
2020/2/10,0,26
2020/2/11,0,27
2020/2/12,1,28
2020/2/13,4,29
2020/2/14,7,30
2020/2/15,12,31
2020/2/16,6,32
2020/2/17,7,33
2020/2/18,7,34
2020/2/19,10,35
2020/2/20,9,36
2020/2/21,11,37
2020/2/22,27,38
2020/2/23,12,39
2020/2/24,12,40
2020/2/25,8,41
2020/2/26,22,42
2020/2/27,24,43
2020/2/28,20,44
2020/2/29,9,45
2020/3/1,15,46
2020/3/2,14,47
2020/3/3,16,48
2020/3/4,33,49
2020/3/5,31,50
2020/3/6,59,51
2020/3/7,47,52
2020/3/8,33,53
2020/3/9,26,54
2020/3/10,54,55
2020/3/11,52,56
2020/3/12,55,57
2020/3/13,40,58
2020/3/14,62,59
2020/3/15,33,60
2020/3/16,15,61
2020/3/17,44,62
2020/3/18,39,63
2020/3/19,36,64
2020/3/20,53,65
2020/3/21,34,66
2020/3/22,42,67
2020/3/23,38,68
2020/3/24,65,69
2020/3/25,93,70
2020/3/26,96,71
2020/3/27,104,72
2020/3/28,194,73
2020/3/29,185,74
2020/3/30,74,75
2020/3/31,218,76
2020/4/1,224,77
2020/4/2,253,78
2020/4/3,337,79
2020/4/4,370,80
2020/4/5,386,81
2020/4/6,270,82
2020/4/7,377,83
2020/4/8,550,84
2020/4/9,572,85
2020/4/10,708,86
2020/4/11,676,87
2020/4/12,571,88
2020/4/13,333,89
2020/4/14,511,90
2020/4/15,511,91
2020/4/16,596,92
2020/4/17,575,93
2020/4/18,590,94
2020/4/19,372,95
2020/4/20,365,96
2020/4/21,374,97
2020/4/22,450,98
2020/4/23,445,99
2020/4/24,451,100
2020/4/25,374,101
2020/4/26,221,102
2020/4/27,189,103
2020/4/28,284,104
2020/4/29,227,105
2020/4/30,199,106
2020/5/1,266,107
2020/5/2,302,108
2020/5/3,204,109
2020/5/4,177,110
2020/5/5,120,111
2020/5/6,106,112
2020/5/7,96,113
2020/5/8,89,114
2020/5/9,108,115
2020/5/10,68,116
2020/5/11,50,117
2020/5/12,80,118
2020/5/13,54,119
2020/5/14,100,120
2020/5/15,52,121
2020/5/16,57,122
2020/5/17,30,123
2020/5/18,30,124
2020/5/19,31,125
2020/5/20,38,126
2020/5/21,43,127
2020/5/22,31,128
2020/5/23,29,129
2020/5/24,40,130
2020/5/25,20,131
2020/5/26,27,132
2020/5/27,37,133
2020/5/28,61,134
2020/5/29,64,135
2020/5/30,46,136
2020/5/31,32,137
2020/6/1,36,138
2020/6/2,51,139
2020/6/3,26,140
2020/6/4,45,141
2020/6/5,41,142
2020/6/6,45,143
2020/6/7,32,144
2020/6/8,22,145
2020/6/9,30,146
2020/6/10,36,147
2020/6/11,40,148
2020/6/12,57,149
2020/6/13,43,150
2020/6/14,62,151
2020/6/15,60,152
2020/6/16,42,153
2020/6/17,43,154
2020/6/18,68,155
2020/6/19,54,156
2020/6/20,65,157
2020/6/21,49,158
2020/6/22,40,159
2020/6/23,53,160
2020/6/24,89,161
2020/6/25,79,162
2020/6/26,99,163
2020/6/27,88,164
2020/6/28,111,165
2020/6/29,110,166
2020/6/30,132,167
2020/7/1,125,168
2020/7/2,194,169
2020/7/3,249,170
2020/7/4,268,171
2020/7/5,195,172
2020/7/6,172,173
2020/7/7,208,174
2020/7/8,203,175
2020/7/9,352,176
2020/7/10,420,177
2020/7/11,373,178
2020/7/12,391,179
2020/7/13,248,180
2020/7/14,327,181
2020/7/15,440,182
2020/7/16,619,183
2020/7/17,588,184
2020/7/18,655,185
2020/7/19,501,186
2020/7/20,407,187
2020/7/21,618,188
2020/7/22,792,189
2020/7/23,966,190
2020/7/24,766,191
2020/7/25,798,192
2020/7/26,830,193
2020/7/27,581,194
2020/7/28,968,195
2020/7/29,1242,196
2020/7/30,1297,197
2020/7/31,1574,198
2020/8/1,1535,199
2020/8/2,1324,200
2020/8/3,937,201
2020/8/4,1234,202
2020/8/5,1350,203
2020/8/6,1479,204
2020/8/7,1595,205
2020/8/8,1523,206
2020/8/9,1486,207
2020/8/10,836,208
2020/8/11,693,209
2020/8/12,969,210
2020/8/13,1176,211
2020/8/14,1356,212
2020/8/15,1234,213
2020/8/16,1017,214
2020/8/17,630,215
2020/8/18,904,216
2020/8/19,1080,217
2020/8/20,1182,218
2020/8/21,1036,219
2020/8/22,985,220
2020/8/23,739,221
2020/8/24,491,222
2020/8/25,712,223
2020/8/26,893,224
2020/8/27,867,225
2020/8/28,870,226
2020/8/29,844,227
2020/8/30,598,228
2020/8/31,425,229
2020/9/1,624,230
2020/9/2,589,231
2020/9/3,656,232
2020/9/4,583,233
2020/9/5,598,234
2020/9/6,447,235
2020/9/7,288,236
2020/9/8,514,237
2020/9/9,507,238
2020/9/10,709,239
2020/9/11,639,240
2020/9/12,641,241
2020/9/13,439,242
2020/9/14,265,243
2020/9/15,531,244
2020/9/16,543,245
2020/9/17,480,246
2020/9/18,569,247
2020/9/19,597,248
2020/9/20,469,249
2020/9/21,307,250
2020/9/22,322,251
2020/9/23,216,252
2020/9/24,477,253
2020/9/25,570,254
2020/9/26,638,255
